atracao;data;tipoCliente
2;06/2024;adulto
6;06/2024;adulto
3;06/2024;crianca
5;06/2024;adulto
3;06/2024;adulto
4;06/2024;adulto
5;06/2024;crianca
9;06/2024;adulto
9;06/2024;adulto
10;06/2024;crianca
3;06/2024;crianca
5;06/2024;crianca
9;06/2024;adulto
1;06/2024;adulto
6;06/2024;adulto
5;06/2024;crianca
1;06/2024;crianca
9;06/2024;crianca
8;06/2024;adulto
1;06/2024;crianca
9;06/2024;adulto
6;06/2024;adulto
6;06/2024;crianca
10;06/2024;crianca
8;06/2024;crianca
3;06/2024;crianca
7;06/2024;adulto
5;06/2024;adulto
8;06/2024;adulto
5;06/2024;crianca
9;06/2024;adulto
9;06/2024;adulto
6;06/2024;adulto
9;06/2024;adulto
7;06/2024;adulto
1;06/2024;adulto
6;06/2024;adulto
2;06/2024;adulto
10;06/2024;crianca
4;06/2024;crianca
2;06/2024;crianca
7;06/2024;adulto
3;06/2024;crianca
3;06/2024;adulto
7;06/2024;adulto
8;06/2024;crianca
10;06/2024;crianca
7;06/2024;adulto
6;06/2024;adulto
8;06/2024;crianca
5;06/2024;crianca
3;06/2024;adulto
10;06/2024;adulto
2;06/2024;crianca
10;06/2024;adulto
1;06/2024;adulto
10;06/2024;adulto
6;06/2024;adulto
3;06/2024;crianca
9;06/2024;crianca
10;06/2024;adulto
4;06/2024;adulto
10;06/2024;adulto
10;06/2024;adulto
1;06/2024;crianca
4;06/2024;adulto
3;06/2024;crianca
5;06/2024;crianca
8;06/2024;crianca
3;06/2024;crianca
3;06/2024;crianca
3;06/2024;crianca
5;06/2024;crianca
1;06/2024;adulto
10;06/2024;crianca
4;06/2024;adulto
6;06/2024;adulto
2;06/2024;crianca
9;06/2024;adulto
9;06/2024;adulto
9;06/2024;adulto
7;06/2024;crianca
6;06/2024;adulto
1;06/2024;adulto
4;06/2024;adulto
10;06/2024;adulto
1;06/2024;adulto
4;06/2024;adulto
1;06/2024;crianca
2;06/2024;adulto
5;06/2024;crianca
1;06/2024;adulto
9;06/2024;adulto
1;06/2024;adulto
8;06/2024;crianca
5;06/2024;crianca
1;06/2024;adulto
3;06/2024;crianca
9;06/2024;adulto
5;06/2024;crianca
4;06/2024;crianca
4;06/2024;crianca
5;06/2024;crianca
4;06/2024;adulto
6;06/2024;adulto
5;06/2024;crianca
2;06/2024;adulto
4;06/2024;adulto
1;06/2024;crianca
9;06/2024;adulto
8;06/2024;crianca
3;06/2024;crianca
1;06/2024;adulto
1;06/2024;adulto
9;06/2024;adulto
3;06/2024;adulto
4;06/2024;crianca
7;06/2024;crianca
9;06/2024;adulto
8;06/2024;crianca
8;06/2024;crianca
10;06/2024;adulto
8;06/2024;crianca
8;06/2024;crianca
1;06/2024;adulto
4;06/2024;adulto
4;06/2024;adulto
9;06/2024;adulto
1;07/2024;adulto
9;06/2024;adulto
9;06/2024;adulto
1;07/2024;adulto
1;07/2024;adulto
9;06/2024;adulto
7;06/2024;adulto
4;07/2024;adulto
1;07/2024;adulto
1;07/2024;adulto
5;07/2024;crianca
3;07/2024;crianca
9;07/2024;adulto
7;07/2024;adulto
8;07/2024;adulto
5;07/2024;crianca
5;07/2024;crianca
5;07/2024;crianca
5;07/2024;crianca
5;07/2024;crianca
1;07/2024;adulto
2;07/2024;crianca
5;07/2024;crianca
4;07/2024;adulto
3;07/2024;crianca
9;07/2024;adulto
3;07/2024;adulto
5;07/2024;crianca
4;07/2024;adulto
8;07/2024;adulto
